tool_name,parameters,original_description
Test sawgger 2.0,"{
    ""parameters"": {
        ""menu_type"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""MU""
        },
        ""module_udid"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        },
        ""user_id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        },
        ""ido"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""updateMenuParams"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","```
  Parameter Type Required Description
  menu_type String yes Options: 'MU', 'MI', 'MS', 'MP'
  ido Number yes Parameter ido

  type 1 - Valid values

  POST data example:
  {
      ""value"": 25
  }
  ""value"": current value

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  { error: 'Value out of range' }

  type 2 - Valid values

  POST data example:
  {
      ""value"": 100
  }
  ""value"": value 1/10

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'Value out of range'
  }

  type 3 - Valid values

  POST data example:
  {
      ""value"": 30
  }
  ""value"": value min: sec

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'Value out of range'
  }
  type 4 - Valid values

  POST data example:
  {
      ""value"": 60
  }
  ""value"": value hour: min

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'Value out of range'
  }

  type 5 - Valid values

  POST data example:
  {
      ""value"": 15
  }
  ""value"": value h: min during the day

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'Value out of range'
  }

  type 6 -  Entering code (input)

  POST data example:
  {
      ""code"": 1234
  }
  ""code"":access code

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'the code is not a number'
  }

  type 7 - Time mode (temperature + time)

  POST data example:
  {
      ""temp"":50,
      ""time"":100
  }
  ""temp"": temperature transfer value
  ""time"": time transfer value

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'Value out of range'
  }

  type 10 - ON / OFF

  POST data example:
  {
      ""value"": 1
  }
  ""value"": enable(1) or disable(0) the value

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'Invalid value for turn on-off'
  }

  type 11 - Choice 1 out of many

  POST data example:
  {
      ""value"": 1
  }
  ""value"": Choice 1 of many

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'Value out of range'
  }

  type 111 -  Selection of strip mode (or other zone controller)

  POST data example:
  {
      ""value"": 1
  }
  ""value"":Choice 1 of many

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'wrong number of parameters'
  }

  type 112 - Selection 1 of many + wiki, message

  POST data example:
  {
      ""value"": 1
  }
  ""value"":Choice 1 of many

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'Value out of range'
  }

  type 12 - Weekly + -

  POST data example:
  {
      ""weekly_plus_minus"":{
      ""values"":[0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15]
  }
  }
  ""values"": [new adjustment values...]

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'wrong number of hours'
  }

  type 13 - Weekly on / off

  POST data example:
  {
      ""weekly_on_off"":{
          ""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
      }
  }
  ""values"": [values on off...]
  1 - on
  0 - off

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'wrong number of parameters'
  }

  type 15 - Many-of-many selection (ON / OFF set of lamps)
  POST data example:
  {
      ""many_of_many"":[
      {
          ""id"":0,
          ""value"":1
      },
      {
          ""id"":1,
          ""value"":1
      }
      ]
  }
  ""id"" - item id
  ""value"" - selected value
  1 - checked
  0 - unchecked

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'too many elements'
  }

  type 29 - Heating curve offset / slope - Viessmann

  POST data example:
  {
      ""slope"":4,
      ""shift"":4
  }
  ""slope"": value slope
  ""shift"": value shift

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
      error: 'Value out of range'
  }

  type 30 - Heat curve

  POST data example:
  {
      ""heating_curve"":[
      {
          ""id"":0,
          ""value"":33
      },
      {
          ""id"":1,
          ""value"":33
      },{
          ""id"":2,
          ""value"":33
      },
      {
          ""id"":3,
          ""value"":33
      }
      ]
  }
  ""id"":element id
  ""value"":values after editing

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  { error: 'number of items out of range' }
  { error: 'Value out of range' }

  type 31 - Heating curve slope / offset

  POST data example:
  {
      ""slope"":4,
      ""shift"":4
  }
  ""slope"": value slope
  ""shift"": value shift

  error example:
  {
      error: 'Value out of range'
  }

  type 100 - Universal schedule

  POST data example:
  {
      ""universal_schedule"":[
      {
          ""start"":0,
          ""end"":15,
          ""interval"":1,
          ""temp"": 20
      },
      {
          ""start"":15,
          ""end"":30,
          ""interval"":1,
          ""temp"": 20
      },
      {
          ""start"":30,
          ""end"":45,
          ""interval"":1,
          ""temp"": 20
      },
      {
          ""start"":45,
          ""end"":60,
          ""interval"":1,
          ""temp"": 20
      },
      {
          ""start"":60,
          ""end"":1439,
          ""interval"":1,
          ""temp"": 20
      }
      ]
  }
  ""start"":start time expressed in seconds ,
  ""end"":end time in seconds
  ""interval"":fan power,
  ""temp"": set temperature

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  { error: 'the time of the first object is not equal to 0' }
  { error: 'the time of the last object is not equal to 1439' }
  { error: 'the times are intertwined' }
  { error: 'time is not quarterly' }
  { error: 'the number of items is incorrect' }

  type 106 - Universal value editing

  POST data example:
  {""value"": 10}
  ""value"": current value

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  {
       error: 'Value out of range'
  }

  type 107 - Date edit

  POST data example:
  {
      ""year"":2020,
      ""month"":3,
      ""day"": 21
  }
  ""year"":year,
  ""month"":month,
  ""day"": day

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  { error: 'wrong day data' }
  { error: 'wrong month data' }

  type 108 - Edition of the range (date from - date to)

  POST data example:
  {
      ""date_start"":{
          ""year"":2019,
          ""month"":12,
          ""day"":1
      },
      ""date_end"":{
      ""year"":2019,
      ""month"":12,
      ""day"":2
      }
  }
  ""year"":year,
  ""month"":month,
  ""day"": day

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  { error: 'the dates overlap' }
  { error: 'wrong day data' }
  { error: 'wrong month data' }

  type 109 - Date (various formats and edits supported)

  POST data example:
  {
      ""years"":2000,
      ""month"":4,
      ""day"":3
  }
  ""year"":year,
  ""month"":month,
  ""day"": day

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  { error: 'month is out of range' }
  { error: 'too many elements' }

  type 120 - Viessmann schedule

  POST data example:
  {
      ""schedule"":[
      {
      ""day"": 0,
      ""time"":[{""start"":300,""end"":400},{""start"":400,""end"":500},{""start"":600,""end"":700}]
      },
      {
      ""day"": 1,
      ""time"":[{""start"":300,""end"":400},{""start"":400,""end"":500},{""start"":600,""end"":700}]
      }
      ]
  }
  day: days of the week
  0 - Monday
  1 - Tuesday
  2 - Wednesday
  3 - Thursday
  4 - Friday
  5 - Saturday
  6 - Sunday
  time: schedule work time
  ""start"":the stated start time
  ""end"": end time

  Response data example:
  {
      ""status"": ""success"",
      ""data"": ""1""
  }

  error example:
  { error: 'wrong number of time' }
  { error: 'the times are coming' }
  { error: 'wrong number of days' }
"
Test sawgger 2.0,"{
    ""parameters"": {
        ""user_id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        },
        ""module_udid"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Force Data Synchronization"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
Test sawgger 2.0,"{
    ""parameters"": {
        ""user_id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""registerModule"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","``` 
Field                       Type        require
 module_name                 String      true
 registration_code           Integer     true
 notification_email          String      false
 additional_information      String      false
 accept_post_policy          Bool        false       ""I agree to the processing of additional data (country, postcode)""
 country                     String      false
 zip_code                    String      false

 POST data example:
 {
     ""module_name"": ""test"",
     ""registration_code"": 52312,
     ""notification_email"": ""foo@bar.com"",
     ""additional_information"": ""Fitter name / Fitter phone etc."",
     ""accept_post_policy"": true,
     ""country"": ""England"",
     ""zip_code"": ""LE14""
 }

 Response example:
 { code: 1, status: 'success',  message: ""registration successful"" }

 Possible responses:
 code        status      message
 1           'success'   'registration successful'
 -1          'fail'      'invalid register code'
 -2          'fail'      'register code error'``
"
Test sawgger 2.0,"{
    ""parameters"": {
        ""user_id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        },
        ""module_udid"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""zoneChange"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","Change zone parameters (L-7, L-8, WiFi 8S, ST-8S WiFi) \n
Set constant temperature:

1. **Set constant temperature**:  \
POST data example:
   {
    ""mode"": {
        ""id"": 210,
        ""parentId"": 101,
        ""mode"": ""constantTemp"",
        ""constTempTime"": 0,
        ""setTemperature"": 220,
        ""scheduleIndex"": 0
    }
}

2. **Set constant temperature with time limitation**: \
POST data example:{
    ""mode"": {
        ""id"": 210,
        ""parentId"": 101,
        ""mode"": ""timeLimit"",
        ""constTempTime"": 60,
        ""setTemperature"": 220,
        ""scheduleIndex"": 0
    }
}
3. **Turn on zone**: \
POST data example:
{
    ""zone"": {
        ""id"": 101,
        ""zoneState"": ""zoneOn""
    }
}
4. **Turn off zone**: \
POST data example:
{
    ""zone"": {
        ""id"": 101,
        ""zoneState"": ""zoneOff""
    }
}
"
Test sawgger 2.0,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""/authentication"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","### Response data example: 
 ``{authenticated: true, user_id: 240471648, token: .eyJ1c2VybmFtZSI6InRlc3QiLCJ1c2VyX2lkIjoyNDA0NzE2NDgsImlhdCI6MTUyNjk5ODQxOX0.opQW1yTczP7vuiIkI1Skuy8yJ8eGhYrlYUKmll9P88M}
 ``
"
Test sawgger 2.0,"{
    ""parameters"": {
        ""user_id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        },
        ""module_udid"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        },
        ""zone_id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""zoneSchedulesChange"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","### POST data example: 
```
{ 
  modeId = 100 
  schedule = { 
          id: 150, 
          index: -1, 
          p0Days: [""1"", ""1"", ""1"", ""1"", ""1"", ""0"", ""0""], 
          p0Intervals: [{start:0, stop: 480, temp: 180}, {start: 480, stop: 960, temp: 240}],
          p0SetbackTemp: 200,
          p1Days: [""0"", ""0"", ""0"", ""0"", ""0"", ""1"", ""1""],
          p1Intervals: ddd,
          p1SetbackTemp: 210
      }
 }

modeId(integer):                                   id of the mode object (nakładka)  connected to the zone 
schedule(object)    id(integer):                   id of the global schedule connected to specified module 
                    index(integer):                index of the global schedule (0 to 4)
                    p0Days(array of strings):      array of days turned on/off for program 1(1 - on, 0 - off). Values must be opposites of p1Days.
                    p0Intervals(array of objects): group of intervals for program 1. Maximum 3 intervals (can be empty)
                                                    - each interval requires 3 properties: start, stop and temp
                                                    - start/stop define the starting/stopping times for the interval
                                                    - start/stop represent time in minutes. Min 0, Max 1440
                                                    - temp defines the temperature for the interval (x10). Min 50 max 350.
                                                    eg. {start: 480, stop: 960, temp 200} from 8:00 - 16:00 temperature will be 20 degrees celsius
                    p0SetbackTemp(integer):         temperature for anytime not covered by p0Intervals. Min 50 max 350.
                    p1Days(array of strings):       array of days turned on/off for program 2(1 - on, 0 - off). Values must be opposites of p0Days.
                    p1Intervals(array of objects):  group of intervals for program 2. Maximum 3 intervals (can be empty)
                                                    - each interval requires 3 properties: start, stop and temp
                                                    - start/stop define the starting/stopping times for the interval
                                                    - start/stop represent time in minutes. Min 0, Max 1440
                                                    - temp defines the temperature for the interval (x10). Min 50 max 350.
                                                    eg. {start: 480, stop: 960, temp 200} from 8:00 - 16:00 temperature will be 20 degrees celsius
                    p1SetbackTemp(integer):         temperature for any time not covered by p1Intervals. Min 50 max 350.
Error response

Each error response returns data in the following format:
{""error"": ""code_for_received_error"", ""error_description"": ""Some text describing the error""}


     invalid_json
          General error regarding incorrectly sent data.
Schedule property errors:

      missing_schedule_property
          The request is missing the required 'schedule' property.

      invalid_schedule_property
          The request is missing required properties on the schedule property. 'schedule' must have the following
          properties: id, index, p0Days, p0Intervals, p0SetbackTemp, p1Days, p1Intervals, p1SetbackTemp.

      Interval errors:

          invalid_number_of_interval_elements
              Invalid amount of elements in 'p0Intervals' or 'p1Intervals'. The maximum allowed amount is 3.

          missing_interval_property
              Element(s) of 'p0Intervals' or 'p1Intervals' are missing interval properties. Each interval must have the
              following properties: start, stop, temp.

          invalid_interval_start_out_of_range
          invalid_interval_stop_out_of_range
              Element(s) of 'p0Intervals' or 'p1Intervals' have an invalid 'start' or 'stop' property. 'start' and 'stop'
              must be between 0 and 1440.

          invalid_interval_start_time_not_increment_of_15
          invalid_interval_stop_time_not_increment_of_15
              Element(s) of 'p0Intervals' or 'p1Intervals' have an invalid 'start' or 'stop' property. 'start' and 'stop'
              must be an increment of 15.

      invalid_interval_stop_greater_than_or_equal_to_start
          Element(s) of 'p0Intervals' or 'p1Intervals' start property must be less than (and not equal) to the stop
          property.

      invalid_interval_temp
          Element(s) of 'p0Intervals' or 'p1Intervals' have and invalid temp property. Temp must be between 50
          and 350 inclusive.

      invalid_interval_overlap
          Element(s) of 'p0Intervals' or 'p1Intervals' start/stop times overlap each other. An element's 'start' must be
          greater than or equal to the previous element's 'stop'.


  Day errors 
        invalid_p0days_length
        invalid_p1days_length
            The request has an invalid 'p0Days' or 'p1Days' property. Its length must always be 7 (the amount of days
            in a week).

        invalid_p0day_element
        invalid_p1day_element
            The request has an invalid 'p0Days' or 'p1Days' property. Each element must be either ""0"" or ""1"".

        invalid_pday_equal
            An element at 'n' in 'p0Days' has the same value as 'p1Days' at index 'n'. Elements at the same index must
            not have the same value.

    invalid_p0setback_temp
    invalid_p1setback_temp
            The request has an invalid 'p0SetbackTemp' or 'p1SetbackTemp' property. It's value must be between 50
            and 350 inclusive.

    invalid_local_schedule_index
        Invalid 'index' property on 'schedule' property. The index must be between -40 and -1 inclusive.

    invalid_local_schedule_property
        The request is missing the required 'modeId' property.

    invalid_local_schedule_zone_not_in_module
        The 'zoneId' parameter has an id that does not belong to the specified module.

    invalid_local_schedule_doesnt_belong_to_zone
        The request's schedule has an id that does not belong to the zone.

    invalid_local_schedule_index_mismatch
        The request's schedule has an index which doesn't match it's id.

    invalid_local_schedule_mode_not_in_zone
        The request's modeId does not belong to it's zone.          

   Type errors

           invalid_schedule_type
                Wrong type for schedule property. Schedule must be an object.

            invalid_pinterval_type
                Wrong type for p0Interval or p1Interval property. p0Interval and p1Interval must be arrays of objects.

            invalid_interval_type
                Wrong type for interval property. Interval must be a object.

            invalid_interval_start_type
                Wrong type for interval start property. Start must be an integer.

            invalid_interval_stop_type
                Wrong type for interval stop property. Stop must be an integer.

            invalid_interval_temp_type
                Wrong type for interval temp property. Temp must be an integer.

            invalid_p0days_type
                Wrong type for p0Days. p0Days must be an array of strings.

            invalid_p1days_type
                Wrong type for p1Days. p1Days must be an array of strings.

            invalid_p0day_element_type
                Wrong type for p0Day element. p0Day elements must be strings.

            invalid_p1day_element_type
                Wrong type for p1Day element. p1Day elements must be strings.

            invalid_p0setback_temp_type
                Wrong type for p0SetbackType. p0SetbackType must be an integer.

            invalid_p1setback_temp_type
                Wrong type for p1SetbackType. p1SetbackType must be an integer.

            invalid_local_schedule_index_type
                Wrong type for index. Index must be an integer.

            invalid_local_schedule_mode_id_type
                Wrong type for modeId. modeId must be an integer.
"
Test sawgger 2.0,"{
    ""parameters"": {
        ""user_id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        },
        ""module_udid"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""zoneGlobalSchedulesChange"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","**setInZones(array of objects)**:                      array of zoneIds to be set with their corresponding modeIds. This cannot be empty. Zone(s)
                                           must belong to the module specified by {module_udid} \
**scheduleName(string)**:                              new name for the global schedule. Only required if changing the name. Max length 40. 
### schedule(object) ###   
    id(integer):                   id of the global schedule connected to specified module 
    index(integer):                index of the global schedule (0 to 4) \
    p0Days(array of strings):      array of days turned on/off for program 1(1 - on, 0 - off). Values must be opposites of p1Days. ervals(array of objects): group of intervals for program 1. Maximum 3 intervals (can be empty) 
                                    - each interval requires 3 properties: start, stop and temp 
                                    - start/stop define the starting/stopping times for the interval 
                                    - start/stop represent time in minutes. Min 0, Max 1440 
                                    - temp defines the temperature for the interval (x10). Min 50 max 350. 
                                    eg. {start: 480, stop: 960, temp 200} from 8:00 - 16:00 temperature will be 20 degrees celsius \
    p0SetbackTemp(integer):         temperature for anytime not covered by p0Intervals. Min 50 max 350.
    p1Days(array of strings):       array of days turned on/off for program 2(1 - on, 0 - off). Values must be opposites of p0Days.
    p1Intervals(array of objects):  group of intervals for program 2. Maximum 3 intervals (can be empty)
                                    - each interval requires 3 properties: start, stop and temp
                                    - start/stop define the starting/stopping times for the interval
                                    - start/stop represent time in minutes. Min 0, Max 1440
                                    - temp defines the temperature for the interval (x10). Min 50 max 350.
                                    eg. {start: 480, stop: 960, temp 200} from 8:00 - 16:00 temperature will be 20 degrees celsius
    p1SetbackTemp(integer):         temperature for any time not covered by p1Intervals. Min 50 max 350.

## Error response ##
Each error response returns data in the following format: \
{""error"": ""code_for_received_error"", ""error_description"": ""Some text describing the error""}

**Schedule property errors**:

    missing_schedule_property
        The request is missing the required 'schedule' property.

    invalid_schedule_property
        The request is missing required properties on the schedule property. 'schedule' must have the following
        properties: id, index, p0Days, p0Intervals, p0SetbackTemp, p1Days, p1Intervals, p1SetbackTemp.

**Interval errors**:

    invalid_number_of_interval_elements
        Invalid amount of elements in 'p0Intervals' or 'p1Intervals'. The maximum allowed amount is 4.

    missing_interval_property
        Element(s) of 'p0Intervals' or 'p1Intervals' are missing interval properties. Each interval must have the
        following properties: start, stop, temp.

    invalid_interval_start_out_of_range
    invalid_interval_stop_out_of_range
        Element(s) of 'p0Intervals' or 'p1Intervals' have an invalid 'start' or 'stop' property. 'start' and 'stop'
        must be between 0 and 1440.

    invalid_interval_start_time_not_increment_of_15
    invalid_interval_stop_time_not_increment_of_15
        Element(s) of 'p0Intervals' or 'p1Intervals' have an invalid 'start' or 'stop' property. 'start' and 'stop'
        must be an increment of 15.

    invalid_interval_stop_greater_than_or_equal_to_start
        Element(s) of 'p0Intervals' or 'p1Intervals' start property must be less than (and not equal) to the stop
        property.

    invalid_interval_temp
        Element(s) of 'p0Intervals' or 'p1Intervals' have and invalid temp property. Temp must be between 50
        and 350 inclusive.

    invalid_interval_overlap
        Element(s) of 'p0Intervals' or 'p1Intervals' start/stop times overlap each other. An element's 'start' must be
        greater than or equal to the previous element's 'stop'.

**Day errors**:

    invalid_p0days_length
    invalid_p1days_length
        The request has an invalid 'p0Days' or 'p1Days' property. Its length must always be 7 (the amount of days
        in a week).

    invalid_p0day_element
    invalid_p1day_element
        The request has an invalid 'p0Days' or 'p1Days' property. Each element must be either ""0"" or ""1"".

    invalid_pday_equal
        An element at 'n' in 'p0Days' has the same value as 'p1Days' at index 'n'. Elements at the same index must
        not have the same value.

    invalid_p0setback_temp
    invalid_p1setback_temp
            The request has an invalid 'p0SetbackTemp' or 'p1SetbackTemp' property. It's value must be between 50
            and 350 inclusive.        

    invalid_global_schedule_index
          Invalid 'index' property on 'schedule' property. The index must be between 0 and 4 inclusive.

     invalid_global_schedule_property
          The request is missing required properties. In addition to 'schedule', it must have 'setInZones' and
          'scheduleName' properties.

    invalid_global_schedule_not_in_module
        The 'schedule' property has an id that does not belong to the specified module.

    invalid_global_schedule_invalid_set_in_zones_length
        The request's 'setInZones' property has an invalid length. 'setInZones' must not be empty.

    invalid_global_schedule_invalid_set_in_zones_properties
        The request's 'setInZones' property has invalid element(s). Each element must have the required properties
        'zoneId' and 'modeId'.

    invalid_global_schedule_invalid_set_in_zones_not_in_module
        The request's 'setInZones' property has invalid element(s). One or more of the elements have a zoneId that does
        not belong to the specified module.

    invalid_global_schedule_index_mismatch
        The request's schedule has an index which doesn't match it's id.

    invalid_global_schedule_invalid_schedule_name_length
        The request's scheduleName has an invalid length. It's length must not be more than 40.

    invalid_global_schedule_invalid_set_in_zones_mode_not_in_zone
        The request's 'setInZones' property has a modeId which doesn't belong to the zone.

### Type errors:
    invalid_schedule_type
        Wrong type for schedule property. Schedule must be an object.

    invalid_pinterval_type
        Wrong type for p0Interval or p1Interval property. p0Interval and p1Interval must be arrays of objects.

    invalid_interval_type
        Wrong type for interval property. Interval must be a object.

    invalid_interval_start_type
        Wrong type for interval start property. Start must be an integer.

    invalid_interval_stop_type
        Wrong type for interval stop property. Stop must be an integer.

    invalid_interval_temp_type
        Wrong type for interval temp property. Temp must be an integer.

    invalid_p0days_type
        Wrong type for p0Days. p0Days must be an array of strings.

    invalid_p1days_type
        Wrong type for p1Days. p1Days must be an array of strings.

    invalid_p0day_element_type
        Wrong type for p0Day element. p0Day elements must be strings.

    invalid_p1day_element_type
        Wrong type for p1Day element. p1Day elements must be strings.

    invalid_p0setback_temp_type
        Wrong type for p0SetbackType. p0SetbackType must be an integer.

    invalid_p1setback_temp_type
        Wrong type for p1SetbackType. p1SetbackType must be an integer.

    invalid_global_schedule_index_type
        Wrong type for index. Index must be an integer.

    invalid_global_schedule_invalid_schedule_name_type
        Wrong type for scheduleName. scheduleName must be a string.

    invalid_global_schedule_invalid_set_in_zones_type
        Wrong type for setInZones. setInZones must be an array of objects.

    invalid_global_schedule_invalid_set_in_zones_element_type
        Wrong type for setInZones element. setInZones elements must be objects.

    invalid_global_schedule_invalid_set_in_zones_zone_type
        Wrong type for setInZones element zoneId. setInZones elements zoneIds must be integers.

    invalid_global_schedule_invalid_set_in_zones_mode_type
        Wrong type for setInZones element modeId. setInZones elements modeIds must be integers.
"
Test_v2,"{
    ""parameters"": {
        ""secret"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Your API Secret that you get from your account on our website""
        },
        ""match_id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""Match ID""
        },
        ""key"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Your API Key that you get from your account on our website API key""
        }
    },
    ""metadata"": {
        ""endpoint"": ""some-operation-od"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Getting match statistics
test,"{
    ""parameters"": {
        ""url"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """",
            ""default"": ""http://www.africau.edu/images/default/sample.pdf""
        }
    },
    ""metadata"": {
        ""endpoint"": ""testtesttest"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",nsadas
test,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""test with tokenk"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",token
test,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""test"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",test
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Createaccount"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","Create a new account in the specified venue. Account initializations may or may not be immediately performed (e.g. funding an account's reserve on Ripple or Stellar).

## Response

Field | Type | Description
--- | --- | ---
result | Account | The newly created account."
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""accountId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Deleteallaccountorders"",
        ""method"": ""DELETE"",
        ""category"": ""Advertising""
    }
}",Delete all orders for the account.
TestingAPIwithinOrg,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Gettime"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Retrieve the server time. This endpoint is also useful as a method for a client to 'ping' the Stronghold Platform and measure latency.
TestingAPIwithinOrg,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Createcredential"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","Create a new credential that is validated with the specified passphrase.

If you are using the Stronghold Identity APIs, you can also pass the access token as a field in the request to automatically link the 3rd party to the new credential.

## Request

Field | Type | Description
--- | --- | ---
passphrase | string | The passphrase the requestor will use with the new credential.

## Response

Field | Type | Description
--- | --- | ---
result | Credential | The newly created credential."
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Listmarkets"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Retrieve a list of the well known markets on the venue.
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""Content-Type"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""application/json""
        },
        ""venueID"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""accountId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Placeorder"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","Place a new order on the specific market.

## Request

Field | Type | Description
--- | --- | ---
marketID | string | The well-known market symbol, identifying the market to place the order on.
type | string | The type of order to place.
side | string | Either `buy` or `sell`.
size | string | The size of the order, as measured in the base currency.
price | string | The price to offer or ask for each unit of the base currency, as measured in the counter currency.
customerReference | string | (Optional) a customer-provided reference to identify the order.

## Response

Field | Type | Description
--- | --- | ---

`404` is returned when the market symbol was not valid.
`501` is returned when the order type is not supported."
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Getassets"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}","Retrieve a list of known assets for the current venue.

## Response

Field | Type | Description
--- | --- | ---
Result | Asset[] | List of known assets for the current venue."
